PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;35;8;28079035_8_8;2019;10;1;58;V;37;V;30;V;30;V;29;V;28;V;35;V;38;V;38;V;33;V;35;V;36;V;29;V;27;V;27;V;31;V;29;V;31;V;50;V;45;V;62;V;64;V;58;V;49;V
28;79;35;12;28079035_12_8;2019;10;1;80;V;46;V;37;V;35;V;34;V;35;V;62;V;52;V;55;V;51;V;53;V;50;V;39;V;33;V;33;V;39;V;36;V;40;V;74;V;61;V;93;V;91;V;81;V;73;V
28;79;35;14;28079035_14_6;2019;10;1;19.18;V;30.64;V;32.42;V;29.48;V;28.44;V;27.93;V;24.89;V;18.21;V;17.23;V;21.75;V;23.35;V;25.13;V;31.45;V;36.71;V;43.94;V;43.22;V;45.42;V;46.29;V;24.84;V;22.05;V;12.04;V;08.38;V;08.96;V;16.42;V
28;79;36;1;28079036_1_38;2019;10;1;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V
28;79;36;6;28079036_6_48;2019;10;1;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;36;7;28079036_7_8;2019;10;1;2;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;6;V;7;V;7;V;7;V;5;V;6;V;3;V;2;V;3;V;3;V;5;V;9;V;13;V;2;V;2;V
28;79;36;8;28079036_8_8;2019;10;1;44;V;8;V;7;V;7;V;7;V;5;V;7;V;21;V;24;V;23;V;27;V;26;V;18;V;17;V;14;V;7;V;6;V;9;V;16;V;21;V;38;V;61;V;41;V;44;V
28;79;36;10;28079036_10_47;2019;10;1;18;V;23;V;28;V;23;V;22;V;22;V;21;V;23;V;23;V;24;V;24;V;25;V;24;V;21;V;19;V;9;V;8;V;9;V;11;V;14;V;26;V;22;V;13;V;10;V
28;79;36;12;28079036_12_8;2019;10;1;47;V;10;V;8;V;9;V;9;V;7;V;10;V;25;V;29;V;31;V;37;V;36;V;28;V;25;V;23;V;11;V;9;V;13;V;21;V;28;V;52;V;82;V;45;V;46;V
28;79;38;1;28079038_1_38;2019;10;1;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V
28;79;38;7;28079038_7_8;2019;10;1;8;V;2;V;1;V;1;V;1;V;2;V;2;V;4;V;7;V;8;V;11;V;14;V;12;V;10;V;7;V;3;V;4;V;8;V;19;V;13;V;36;V;28;V;10;V;5;V
28;79;38;8;28079038_8_8;2019;10;1;35;V;18;V;14;V;12;V;12;V;11;V;16;V;19;V;28;V;30;V;32;V;34;V;29;V;25;V;23;V;12;V;14;V;26;V;43;V;41;V;75;V;69;V;46;V;36;V
28;79;38;9;28079038_9_47;2019;10;1;8;V;9;V;9;V;9;V;12;V;12;V;10;V;9;V;9;V;10;V;11;V;9;V;9;V;6;V;8;V;7;V;4;V;4;V;4;V;7;V;5;V;8;V;4;V;4;V
